,RESULTS,TIMESTAMP,INDEX
0,-1,2008-07-19 11:55:00,0
1,-1,2008-07-19 12:32:00,1
2,1,2008-07-19 13:17:00,2
3,-1,2008-07-19 14:43:00,3
4,-1,2008-07-19 15:22:00,4
5,-1,2008-07-19 17:53:00,5
6,-1,2008-07-19 19:44:00,6
7,-1,2008-07-19 19:45:00,7
8,-1,2008-07-19 20:24:00,8
9,-1,2008-07-19 21:35:00,9
10,1,2008-07-19 21:57:00,10
11,1,2008-07-19 22:52:00,11
12,-1,2008-07-20 03:35:00,12
13,-1,2008-07-21 08:21:00,13
14,1,2008-07-21 11:53:00,14
15,-1,2008-07-22 00:03:00,15
16,-1,2008-07-22 02:59:00,16
17,-1,2008-07-22 08:41:00,17
18,-1,2008-07-22 11:47:00,18
19,-1,2008-07-22 14:00:00,19
20,-1,2008-07-22 15:30:00,20
21,-1,2008-07-23 05:15:00,21
22,-1,2008-07-23 19:22:00,22
23,1,2008-07-25 15:23:00,23
24,-1,2008-07-27 04:18:00,24
25,-1,2008-07-27 09:37:00,25
26,-1,2008-07-27 11:10:00,26
27,-1,2008-07-27 15:46:00,27
28,-1,2008-07-27 16:06:00,28
29,-1,2008-07-27 16:49:00,29
30,-1,2008-07-27 20:24:00,30
31,-1,2008-07-27 22:28:00,31
32,-1,2008-07-27 22:28:00,32
33,-1,2008-07-27 23:14:00,33
34,-1,2008-07-28 03:31:00,34
35,-1,2008-07-28 03:48:00,35
36,-1,2008-07-28 04:37:00,36
37,-1,2008-07-28 05:36:00,37
38,1,2008-07-28 06:45:00,38
39,-1,2008-07-28 08:36:00,39
40,1,2008-07-28 15:11:00,40
41,-1,2008-07-28 23:57:00,41
42,-1,2008-07-29 04:08:00,42
43,-1,2008-07-29 05:16:00,43
44,-1,2008-07-29 06:19:00,44
45,1,2008-07-29 08:23:00,45
46,-1,2008-07-29 11:47:00,46
47,-1,2008-07-29 15:41:00,47
48,1,2008-07-29 15:49:00,48
49,1,2008-07-29 17:05:00,49
50,1,2008-07-29 18:08:00,50
51,-1,2008-07-29 21:07:00,51
52,-1,2008-07-29 23:14:00,52
53,-1,2008-07-29 23:19:00,53
54,-1,2008-07-30 06:30:00,54
55,-1,2008-07-30 07:08:00,55
56,-1,2008-07-30 12:02:00,56
57,1,2008-07-30 12:29:00,57
58,1,2008-07-30 21:16:00,58
59,-1,2008-07-31 13:57:00,59
60,-1,2008-07-31 15:36:00,60
61,-1,2008-07-31 17:07:00,61
62,1,2008-07-31 20:18:00,62
63,-1,2008-01-08 02:02:00,63
64,1,2008-01-08 05:52:00,64
65,-1,2008-01-08 10:20:00,65
66,-1,2008-01-08 10:26:00,66
67,-1,2008-01-08 11:28:00,67
68,-1,2008-01-08 12:29:00,68
69,-1,2008-01-08 14:07:00,69
70,-1,2008-01-08 15:10:00,70
71,-1,2008-02-08 03:39:00,71
72,-1,2008-03-08 13:09:00,72
73,-1,2008-03-08 14:06:00,73
74,-1,2008-03-08 14:25:00,74
75,-1,2008-03-08 15:03:00,75
76,-1,2008-03-08 15:27:00,76
77,-1,2008-03-08 16:00:00,77
78,-1,2008-03-08 17:00:00,78
79,-1,2008-03-08 17:58:00,79
80,-1,2008-03-08 20:23:00,80
81,-1,2008-03-08 22:52:00,81
82,1,2008-04-08 00:39:00,82
83,-1,2008-04-08 03:45:00,83
84,-1,2008-04-08 03:49:00,84
85,-1,2008-04-08 13:19:00,85
86,-1,2008-04-08 14:04:00,86
87,-1,2008-04-08 14:31:00,87
88,-1,2008-04-08 15:29:00,88
89,-1,2008-04-08 16:15:00,89
90,-1,2008-04-08 16:31:00,90
91,-1,2008-04-08 17:11:00,91
92,-1,2008-04-08 17:46:00,92
93,-1,2008-04-08 18:24:00,93
94,-1,2008-04-08 19:58:00,94
95,-1,2008-04-08 20:32:00,95
96,1,2008-04-08 20:58:00,96
97,-1,2008-04-08 21:43:00,97
98,-1,2008-04-08 22:51:00,98
99,-1,2008-04-08 23:33:00,99
100,-1,2008-05-08 00:04:00,100
101,-1,2008-05-08 01:12:00,101
102,-1,2008-05-08 02:15:00,102
103,-1,2008-05-08 02:36:00,103
104,-1,2008-05-08 02:45:00,104
105,-1,2008-05-08 03:17:00,105
106,-1,2008-05-08 03:36:00,106
107,-1,2008-05-08 03:54:00,107
108,-1,2008-05-08 04:32:00,108
109,-1,2008-05-08 04:35:00,109
110,-1,2008-05-08 05:11:00,110
111,-1,2008-05-08 06:10:00,111
112,-1,2008-05-08 06:11:00,112
113,-1,2008-05-08 06:21:00,113
114,-1,2008-05-08 07:12:00,114
